src,dst
281,497
281,544
281,779
282,7139
283,1736
283,1822
283,2879
283,4175
283,7052
283,7190
283,12995
283,16740
283,18367
283,23582
283,24212
283,25615
283,26407
283,28523
283,56032
283,77619
283,87337
286,377
286,736
286,805
286,3117
286,10612
286,12125
286,22735
286,33445
286,38573
286,44407
286,55831
286,80167
294,845
295,3632
295,4184
295,5324
295,5878
295,5990
295,6801
295,11836
295,14129
295,19322
295,20164
299,533
301,684
309,563
311,4779
311,5743
311,6681
311,7488
311,19060
311,20992
311,22736
311,24862
311,24994
311,44100
311,48949
311,77308
313,3740
313,4306
313,4361
313,6211
313,6561
313,7064
313,18503
313,19048
313,19504
313,20087
313,21360
313,22399
313,23906
313,25418
313,30269
313,36684
313,51514
313,52376
313,58302
313,88480
313,90946
319,846
328,19364
328,40499
328,71548
328,96006
330,12017
331,711
336,844
339,414
339,884
347,2536
347,8856
347,10112
347,14708
347,16920
347,18275
347,21564
347,31834
347,34500
347,42269
347,42452
347,42554
347,43240
347,50923
347,50948
347,51163
347,51317
347,53750
347,58750
353,43927
353,53234
353,59827
353,79783
353,90900
354,477
355,6565
355,20123
355,39852
355,43218
355,50834
355,61453
355,64098
359,876
359,943
361,567
368,83123
371,815
372,761
372,1824
372,5338
372,12146
372,13079
372,27960
372,34369
372,54189
372,61592
372,76697
374,380
374,850
377,33840
377,66358
377,80167
378,535
378,752
378,845
397,451
411,23611
411,67673
411,83678
411,84249
411,95674
412,11152
412,26089
412,28059
419,21250
421,19070
421,24285
422,35563
423,44645
426,9329
426,20409
428,482
428,497
428,522
428,544
434,843
434,933
434,2135
434,2775
434,4330
434,9416
434,10055
434,14863
434,15406
434,25912
434,27078
434,65663
434,71126
434,75210
434,77114
434,91356
441,1095
444,755
444,1055
444,2158
444,14446
444,25195
451,635
453,629
460,593
460,1222
460,1370
460,1546
460,2051
460,2063
460,2391
460,3284
460,3304
460,4194
460,4742
460,4858
460,5344
460,6026
460,6116
460,6346
460,6678
460,7068
460,8009
460,8087
460,8932
460,10044
460,10559
460,11359
460,11732
460,11890
460,12091
460,12439
460,12905
460,13464
460,13594
460,13794
460,13820
460,16162
460,16548
460,18197
460,18989
460,19059
460,20490
460,20625
460,21321
460,21549
460,21727
460,22639
460,23375
460,23848
460,24277
460,24742
460,25173
460,25286
460,25811
460,27434
460,28582
460,30261
460,30489
460,34869
460,41919
460,42159
460,42624
460,44340
460,53495
460,55983
460,56321
460,59650
460,67213
460,67449
460,71588
460,73364
460,84651
460,86000
460,91463
461,2622
461,3179
461,5518
461,51233
465,1616
465,15481
465,42683
465,61015
465,88046
465,97701
467,583
472,1181
476,8993
476,17768
476,20469
480,856
482,497
482,544
485,5575
485,5962
485,19378
485,20144
485,20961
485,22401
485,28425
485,35638
485,49475
485,49645
491,1655
491,1736
491,1993
491,3672
491,24401
497,544
497,570
497,806
497,906
510,13387
510,18911
516,1512
516,2626
516,4126
516,4695
516,6043
516,6465
516,6540
516,7306
516,7541
516,9000
516,9265
516,12439
516,12794
516,13794
516,14008
516,16108
516,16520
516,19680
516,20968
516,23762
516,24690
516,25640
516,26096
516,26637
516,27068
516,28134
516,29317
516,29346
516,29437
516,29549
516,31315
516,32327
516,34194
516,34539
516,39949
516,75349
521,11079
521,12964
521,20559
523,732
536,912
543,916
544,766
549,17183
550,19134
562,18251
562,22134
562,22468
562,67747
565,3366
566,53850
570,806
570,938
573,2529
573,2842
573,3198
579,9667
590,1771
590,5848
590,51448
590,86710
590,88437
590,94605
591,946
593,1370
593,7882
593,9847
593,10559
593,16667
593,20490
593,24338
593,25173
593,28783
593,30341
593,30738
593,32431
593,33661
593,84651
593,96988
596,916
606,880
613,757
616,1384
616,24863
623,933
623,5270
623,5848
623,6121
623,10497
623,13819
623,14443
623,16386
623,18367
623,23573
623,25135
623,33791
623,38653
623,41838
623,43076
623,46961
623,47787
623,47876
623,49234
623,56032
623,61015
623,61463
623,61717
623,83402
623,85660
623,90825
623,91657
623,93729
623,94597
623,94698
623,96395
626,19041
626,43549
626,49179
626,53395
626,63696
626,90847
626,98640
635,8251
635,15046
635,27271
635,31816
640,911
648,14043
663,35505
666,2648
666,8445
666,25020
666,43468
666,59613
669,28541
671,972
675,5338
677,1697
677,6153
677,6338
677,6475
677,14202
677,18338
677,20022
677,29257
677,29934
677,30340
677,32157
677,33094
677,35317
677,41875
677,66575
683,21695
683,28148
684,1253
693,2806
693,18896
697,2425
697,2623
697,3709
697,12696
697,18936
697,23580
697,78539
697,81682
705,23033
705,23240
713,35424
713,51402
713,90572
718,2143
718,8498
718,8680
718,18377
718,21774
718,23278
718,25018
718,25119
718,26996
718,39598
718,46961
718,48594
718,48793
718,50137
718,54806
718,57751
718,60315
718,61611
718,71691
718,77509
718,94934
718,98849
719,765
719,4737
719,5351
719,6149
719,8014
719,10856
719,12652
719,14585
719,16565
719,19026
719,61866
719,67163
719,78079
725,5332
729,1165
732,47706
736,805
736,4549
736,73187
741,8343
746,3531
746,19376
748,16455
748,57018
749,64347
755,1055
755,2158
755,22043
757,898
761,3043
761,12146
761,34369
761,54189
761,61592
761,79457
761,82316
761,94147
765,7208
765,8014
765,33493
775,46923
775,94420
786,838
786,2143
786,8226
786,14799
786,23506
786,46961
786,47787
786,57920
786,63046
788,3235
788,12706
805,43251
811,55142
811,56552
814,19065
814,41024
814,53619
816,5003
816,6186
816,6729
816,16436
816,18783
816,18807
816,18887
816,19693
816,20061
816,20567
816,21417
816,21572
816,21918
816,22541
816,22547
816,23051
816,23919
816,30670
816,31335
816,46612
816,50333
816,55039
816,57414
816,57701
816,60774
816,63599
818,1398
818,34300
818,51493
832,841
837,963
837,54861
838,1160
838,2143
838,3211
838,5149
838,5518
838,6841
838,8498
838,9981
838,14585
838,15449
838,23506
838,25230
838,33318
838,34271
838,48793
838,53601
838,59482
838,62524
838,76483
838,84125
838,85118
843,1073
843,1467
843,1733
843,2143
843,3394
843,3464
843,3517
843,4080
843,4631
843,5270
843,5700
843,5932
843,8002
843,9416
843,13819
843,14263
843,16670
843,18342
843,19468
843,19807
843,19945
843,20980
843,22121
843,23419
843,23952
843,25912
843,26299
843,27078
843,39598
843,40342
843,43956
843,47876
843,48252
843,49234
843,51299
843,56032
843,59827
843,63070
843,67833
843,68022
843,68277
843,69349
843,71126
843,73966
843,75210
843,76202
843,77447
843,77760
843,78766
843,79301
843,80739
843,82348
843,83817
843,85660
843,86138
843,88046
843,90900
843,94597
843,94605
843,97428
843,99445
852,13616
852,32032
864,1759
867,7151
867,16697
868,23684
876,943
897,2241
897,5500
897,6730
897,7074
897,11485
897,13024
897,21791
897,25409
897,43626
902,965
902,973
902,1745
902,2778
902,4506
902,7377
902,9104
902,9112
902,9255
902,10069
902,12040
902,14739
902,17318
902,18997
902,24896
902,57444
907,51466
914,7034
914,17879
914,20444
932,2387
932,3824
932,4580
932,5426
932,5483
932,5531
932,5578
932,6127
932,6359
932,8455
932,8481
932,9122
932,9466
932,10208
932,11658
932,12694
932,13367
932,13497
932,14815
932,16221
932,16742
932,18076
932,18134
932,19402
932,19509
932,19554
932,19914
932,20218
932,21046
932,21911
932,22023
932,22967
932,24441
932,25990
932,27332
932,29617
932,31284
932,31785
932,33580
932,46007
932,46078
932,52452
932,57352
932,87054
932,94135
932,94560
933,1771
933,7629
933,9188
933,9981
933,10055
933,14541
933,15066
933,47876
933,51260
933,60791
933,61717
933,65663
933,71822
933,90825
933,92073
933,94604
937,20993
939,15613
939,16892
939,18056
939,59019
941,1467
941,3014
941,3286
941,6093
941,7382
941,8215
941,15701
941,16670
941,17228
941,18688
941,19807
941,19945
941,21035
941,28663
941,45009
941,48219
951,1558
951,3932
951,13464
951,16548
951,21318
951,23047
953,1230
957,23381
957,26842
958,2810
958,3752
958,3781
958,4203
958,5244
958,15733
958,16018
958,16039
958,16781
958,23809
958,28148
958,32430
958,37880
958,39801
958,43082
958,46316
958,49666
958,50633
958,53675
958,59784
958,67981
958,68070
958,83199
958,90295
958,91256
959,13741
959,25791
959,27674
959,32855
959,38640
959,98852
960,29715
960,52276
960,64336
964,25941
965,1141
965,1311
965,1532
965,1792
965,2399
965,2594
965,3083
965,3279
965,3685
965,4181
965,4365
965,4410
965,4506
965,4859
965,5586
965,6507
965,7390
965,7607
965,8077
965,10069
965,10597
965,10683
965,11450
965,12791
965,13963
965,14138
965,15048
965,15130
965,16037
965,16358
965,16398
965,16777
965,17177
965,17546
965,17901
965,18476
965,18564
965,18702
965,20003
965,20568
965,21436
965,23110
965,23501
967,5599
969,4345
970,2968
970,10955
970,15039
973,7390
973,9632
973,11330
973,11450
973,13963
973,16398
973,17901
973,18131
973,18997
973,19047
973,20095
973,24896
974,2515
974,4972
974,15481
974,23430
974,29715
974,39928
974,40278
974,46961
974,52276
974,57572
974,58132
974,62337
974,77084
974,81212
974,89780
974,91657
979,15485
979,16495
981,8470
981,23813
982,3974
982,11911
983,95879
984,1838
984,3668
984,5668
984,15879
984,16656
984,19706
984,19943
984,21397
984,23278
984,23532
984,24641
984,25912
984,41212
984,46243
984,47962
984,77179
984,89686
984,93909
984,95858
985,9766
991,1366
991,15270
991,18803
992,15501
994,14213
994,25396
994,26469
994,80405
997,21121
997,65202
998,11516
998,23423
998,23476
1000,21200
1001,76983
1003,1326
1003,2434
1003,2444
1003,7339
1003,12232
1003,17388
1003,18187
1005,1606
1006,8004
1006,15898
1010,1170
1010,1192
1010,1465
1010,2609
1010,3311
1010,4614
1010,5228
1010,11002
1010,13392
1010,13478
1010,15061
1015,23276
1020,11152
1020,12065
1022,23814
1022,41212
1022,51389
1023,1735
1023,1909
1023,2057
1023,3927
1023,10901
1023,12368
1023,13938
1023,16125
1023,19131
1023,21187
1023,21675
1023,25062
1024,2623
1024,18741
1024,81682
1024,83416
1026,87541
1033,3710
1033,5098
1033,5242
1033,5815
1033,9545
1033,12508
1033,20064
1033,20831
1033,28538
1033,28826
1033,30355
1033,36087
1033,51896
1033,54847
1033,67831
1034,5319
1034,14750
1034,17859
1034,40825
1036,10859
1036,11577
1036,35026
1038,3962
1038,4885
1041,2189
1041,14048
1041,15826
1041,19472
1041,20975
1042,1141
1042,1192
1042,1465
1042,1532
1042,1632
1042,1680
1042,1804
1042,1909
1042,2338
1042,2399
1042,2411
1042,2593
1042,2594
1042,2719
1042,2778
1042,2988
1042,3083
1042,3125
1042,3685
1042,3927
1042,4060
1042,4410
1042,4614
1042,4628
1042,4859
1042,4861
1042,5228
1042,5526
1042,5630
1042,6507
1042,7210
1042,7390
1042,7499
1042,7672
1042,7965
1042,8077
1042,8342
1042,9112
1042,9632
1042,10597
1042,10683
1042,10901
1042,11002
1042,11172
1042,11330
1042,11341
1042,11450
1042,11723
1042,11817
1042,12368
1042,12717
1042,12791
1042,13392
1042,13478
1042,13693
1042,13835
1042,13938
1042,13963
1042,14138
1042,14389
1042,14739
1042,14930
1042,15123
1042,15305
1042,15477
1042,15529
1042,15976
1042,16037
1042,16125
1042,16358
1042,16398
1042,16566
1042,16777
1042,17170
1042,17198
1042,17269
1042,18131
1042,18476
1042,18564
1042,18702
1042,18997
1042,19047
1042,19131
1042,19227
1042,19483
1042,19522
1042,19697
1042,20003
1042,20095
1042,20253
1042,20989
1042,21416
1042,21467
1042,21474
1042,21675
1042,22024
1042,22271
1042,22513
1042,23110
1042,23148
1042,23501
1042,24584
1049,22477
1049,40898
1049,95688
1053,5531
1053,5619
1053,5669
1053,6108
1053,7714
1053,22305
1053,34196
1053,46007
1055,53003
1064,1178
1064,2542
1064,15379
1064,33495
1064,45085
1065,2292
1065,23030
1065,29425
1065,49781
1065,85831
1065,88162
1066,2596
1066,9370
1066,24655
1068,10395
1071,2128
1071,21312
1073,9981
1073,13844
1073,18589
1073,27078
1073,51299
1073,59827
1073,69752
1073,82246
1073,97428
1074,4649
1079,2566
1079,10389
1079,19742
1079,20687
1079,22743
1083,2394
1083,3231
1083,9278
1083,36471
1083,96333
1084,1578
1084,2263
1084,3025
1084,3462
1084,4003
1084,9719
1084,9985
1084,10261
1084,11331
1084,11411
1084,12975
1084,14171
1084,14211
1084,15135
1084,15412
1084,18596
1084,22395
1084,25239
1084,29806
1084,34219
1085,16060
1085,17646
1088,5935
1088,9255
1088,14353
1093,11656
1095,34559
1102,29815
1104,1465
1104,1680
1104,4614
1104,5228
1104,7330
1104,9385
1104,9605
1104,10788
1104,11002
1104,11004
1104,11469
1104,11547
1104,12957
1104,13392
1104,14138
1104,14930
1104,17269
1104,19264
1104,19522
1104,20744
1104,21781
1104,22381
1106,2350
1106,3093
1106,4848
1106,9991
1106,11318
1106,14505
1106,15572
1106,17993
1106,37011
1106,40954
1106,42748
1106,61104
1109,7028
1109,13549
1111,3596
1111,8798
1111,13613
1111,13675
1111,16792
1111,20975
1111,24578
1111,28663
1111,55756
1111,71787
1112,1810
1112,1892
1112,2325
1112,16495
1112,16740
1112,17228
1112,20170
1112,28801
1112,30216
1112,32458
1112,32955
1112,35330
1112,45644
1112,73641
1115,19634
1116,3123
1118,51187
1119,6263
1122,44582
1125,20170
1126,7221
1126,47621
1135,1882
1139,13028
1141,1465
1141,1532
1141,1632
1141,1804
1141,2338
1141,2411
1141,2594
1141,2719
1141,2988
1141,3083
1141,3311
1141,3685
1141,4060
1141,4410
1141,4614
1141,4628
1141,4859
1141,5228
1141,6507
1141,7210
1141,7672
1141,7965
1141,8077
1141,8342
1141,9632
1141,10597
1141,10683
1141,11002
1141,11172
1141,11450
1141,11547
1141,11723
1141,12791
1141,13392
1141,14138
1141,14389
1141,14930
1141,15123
1141,15305
1141,15529
1141,15976
1141,16037
1141,16358
1141,16398
1141,16566
1141,16777
1141,17170
1141,17198
1141,17269
1141,18476
1141,18564
1141,18702
1141,19047
1141,19227
1141,19522
1141,19697
1141,20003
1141,20095
1141,20989
1141,21474
1141,21581
1141,21675
1141,22024
1141,22271
1141,22513
1141,22918
1141,23110
1141,23148
1141,23501
1141,24584
1142,29323
1144,5493
1144,6493
1144,13757
1144,13980
1144,20460
1144,20517
1144,21221
1144,22356
1144,25562
1144,42291
1144,43448
1144,60602
1144,62109
1144,67155
1144,78854
1144,89630
1145,4271
1145,16719
1155,1737
1155,1979
1155,3322
1155,5849
1155,8856
1155,9732
1155,11119
1155,12519
1155,16740
1155,17741
1155,19339
1155,22081
1155,23178
1155,25150
1155,25453
1155,30899
1155,51917
1155,61067
1155,83040
1160,5737
1160,7181
1160,9981
1160,11293
1160,14803
1160,15449
1160,15661
1160,25230
1160,30734
1160,35514
1160,49728
1160,54806
1160,59827
1160,70518
1160,75933
1160,92302
1161,84189
1161,88310
1162,2334
1162,20115
1163,3655
1165,29130
1170,1192
1170,1465
1170,1632
1170,2609
1170,2668
1170,2719
1170,2778
1170,4060
1170,4614
1170,5228
1170,6566
1170,7672
1170,7965
1170,9112
1170,9255
1170,11002
1170,11450
1170,13392
1170,13478
1170,14389
1170,14930
1170,16246
1170,16566
1170,17198
1170,17269
1170,18997
1170,21474
1174,1451
1174,2302
1174,2362
1174,3047
1174,3124
1174,6641
1174,8526
1174,8559
1174,9587
1174,9975
1174,10770
1174,10953
1174,13385
1174,14360
1174,14622
1174,15440
1174,16584
1174,17007
1174,18658
1174,19215
1174,20845
1174,20857
1174,21378
1174,22454
1174,25677
1174,30559
1174,56856
1174,65944
1176,2444
1176,11691
1186,8293
1186,19791
1192,1465
1192,1632
1192,1680
1192,1804
1192,2102
1192,2411
1192,2593
1192,2594
1192,2609
1192,2719
1192,3125
1192,3311
1192,3685
1192,3761
1192,4060
1192,4614
1192,4628
1192,5228
1192,6277
1192,6507
1192,6566
1192,7210
1192,7672
1192,7965
1192,10241
1192,10597
1192,10788
1192,11002
1192,11004
1192,11450
1192,11547
1192,12368
1192,12717
1192,13221
1192,13392
1192,13478
1192,13835
1192,14138
1192,14389
1192,14930
1192,15529
1192,15976
1192,16246
1192,16358
1192,16398
1192,16566
1192,16777
1192,17198
1192,17269
1192,18415
1192,18476
1192,19047
1192,19131
1192,19522
1192,19697
1192,20095
1192,20546
1192,20989
1192,21467
1192,21474
1192,21581
1192,21886
1192,22381
1192,22513
1192,22918
1192,23088
1192,23148
1192,24584
1192,27463
1192,41984
1192,57929
1194,14920
1197,8155
1197,20944
1199,20869
1201,6013
1201,9975
1201,12095
1202,2017
1202,2168
1202,2684
1202,2828
1202,5068
1202,5850
1202,5990
1202,7024
1202,7852
1202,9008
1202,9089
1202,11574
1202,11824
1202,12885
1202,13352
1202,13521
1202,13610
1202,14202
1202,14366
1202,16453
1202,16995
1202,17468
1202,17734
1202,17983
1202,21138
1202,22040
1202,24682
1202,26861
1202,29297
1202,29304
1202,32554
1202,34486
1202,39162
1202,40048
1202,48102
1202,52848
1202,53392
1202,55246
1202,87365
1203,36554
1204,4799
1209,5729
1209,20314
1209,38925
1210,25941
1215,32175
1216,1579
1216,1633
1216,1733
1216,2471
1216,2618
1216,3008
1216,4272
1216,5335
1216,8517
1216,9233
1216,9787
1216,9822
1216,16656
1216,18945
1216,20163
1216,20215
1216,20781
1216,21044
1216,21256
1216,24689
1216,25169
1216,25281
1216,26260
1216,30148
1216,39509
1216,41212
1216,42356
1216,48926
1216,61285
1216,63666
1216,96467
1217,2429
1217,5840
1217,22983
1220,6937
1220,14561
1222,1546
1222,2756
1222,3304
1222,4194
1222,4736
1222,5193
1222,6026
1222,7068
1222,7521
1222,8009
1222,8270
1222,8932
1222,9268
1222,11615
1222,12071
1222,12091
1222,12905
1222,13464
1222,13794
1222,13820
1222,16548
1222,19059
1222,20625
1222,21549
1222,21621
1222,23157
1222,24277
1222,25296
1222,27193
1222,28582
1222,30178
1222,30497
1222,31750
1222,33661
1222,71588
1222,78033
1222,86000
1223,1727
1223,2482
1223,2805
1223,4591
1223,21612
1223,22860
1223,25725
1223,62239
1223,97428
1227,1670
1227,2375
1227,8044
1230,5632
1230,13580
1234,62988
1235,1884
1235,10518
1235,12654
1235,15056
1235,15945
1235,19557
1235,26481
1235,49448
1235,57572
1236,11516
1236,19519
1236,23423
1237,21646
1237,32218
1237,38955
1237,58174
1238,1435
1238,2303
1238,62359
1238,63141
1238,74176
1238,77062
1238,98665
1239,8697
1239,12113
1239,16273
1241,1856
1241,2573
1241,2903
1241,2952
1241,5180
1241,5217
1241,6214
1241,7821
1241,7961
1241,8455
1241,9019
1241,9356
1241,9644
1241,10040
1241,11119
1241,12054
1241,17457
1241,17533
1241,19161
1241,20750
1241,20991
1241,21229
1241,29079
1241,38487
1241,58156
1241,58302
1241,63314
1241,94188
1243,13638
1246,2067
1246,23576
1247,12212
1247,20230
1247,25658
1247,27101
1247,29344
1247,41621
1249,1811
1249,13331
1249,46996
1250,4799
1255,18003
1256,10306
1258,3983
1258,20018
1258,58733
1263,1525
1263,1557
1263,1680
1263,1735
1263,1909
1263,2101
1263,2399
1263,2593
1263,3125
1263,3217
1263,3279
1263,3927
1263,4859
1263,4861
1263,5501
1263,5526
1263,7372
1263,7677
1263,8077
1263,8735
1263,8748
1263,9385
1263,9605
1263,10069
1263,10901
1263,11276
1263,11341
1263,11469
1263,12368
1263,12586
1263,12717
1263,13221
1263,13835
1263,13938
1263,14138
1263,14353
1263,14930
1263,15106
1263,15130
1263,15311
1263,15620
1263,16037
1263,16125
1263,16907
1263,17269
1263,17753
1263,19131
1263,19483
1263,20253
1263,21187
1263,21416
1263,21467
1263,21781
1263,23088
1263,25062
1268,3236
1272,84269
1273,17958
1273,29521
1273,57718
1273,63696
1275,19661
1275,48115
1275,51662
1279,1671
1282,15649
1288,19624
1290,8170
1290,8356
1290,13784
1290,17823
1290,19243
1290,20895
1290,51146
1290,51264
1290,53212
1296,1940
1296,2204
1296,3240
1296,7486
1296,8615
1296,8917
1296,9268
1296,9741
1296,11068
1296,12794
1296,15415
1296,17639
1296,18935
1296,22584
1296,25173
1296,28517
1296,34994
1301,12027
1301,15549
1301,16913
1301,22945
1301,45811
1301,78730
1301,90109
1302,2476
1302,2591
1302,2756
1302,3797
1302,6142
1302,11226
1302,15390
1302,17397
1302,18619
1302,47230
1302,51439
1305,11820
1306,2511
1306,2549
1308,24268
1310,14260
1311,1532
1311,2338
1311,3083
1311,4410
1311,4479
1311,4859
1311,4861
1311,5586
1311,6627
1311,7210
1311,8077
1311,10683
1311,12717
1311,12791
1311,17546
1311,17901
1311,18564
1311,18702
1311,20003
1311,20568
1311,23110
1313,3278
1313,7206
1313,12401
1313,16548
1313,17002
1313,20169
1313,28468
1313,29425
1313,61884
1316,2845
1316,75657
1317,7034
1319,10299
1319,13640
1319,15005
1320,12897
1320,25119
1320,41838
1320,44018
1320,44032
1320,46716
1320,57281
1320,98640
1322,17272
1322,20781
1322,51175
1325,2315
1325,26027
1326,1495
1326,2444
1326,7339
1326,17388
1326,25301
1327,12701
1327,13675
1327,22715
1327,25169
1327,30725
1327,44758
1327,52968
1327,88340
1328,1653
1328,10910
1328,16160
1329,66612
1330,3651
1333,4904
1335,21700
1336,36245
1337,11859
1337,16382
1337,27960
1337,39797
1337,59594
1347,21597
1348,91234
1349,22762
1350,1525
1350,1730
1350,4312
1350,5190
1350,5764
1350,5888
1350,6457
1350,7677
1350,9095
1350,9793
1350,12426
1350,15428
1350,15694
1350,17264
1350,17939
1350,20546
1350,20744
1350,21058
1350,21187
1350,21886
1350,22444
1350,23088
1350,28912
1350,30844
1350,80620
1350,96070
1353,1512
1353,1780
1353,2204
1353,3392
1353,3997
1353,4257
1353,4699
1353,4720
1353,4769
1353,4837
1353,5160
1353,5531
1353,5871
1353,5973
1353,6127
1353,6671
1353,7541
1353,8183
1353,8455
1353,8615
1353,9000
1353,10819
1353,10822
1353,11476
1353,12163
1353,12439
1353,14581
1353,14888
1353,15678
1353,16116
1353,16520
1353,16837
1353,17639
1353,17692
1353,17749
1353,18609
1353,18737
1353,18935
1353,19402
1353,19580
1353,19950
1353,20499
1353,20772
1353,20967
1353,21192
1353,21546
1353,21911
1353,22465
1353,23170
1353,24441
1353,25039
1353,27335
1353,28134
1353,28260
1353,28381
1353,29018
1353,29346
1353,29437
1353,29479
1353,29549
1353,30370
1353,31293
1353,31392
1353,31704
1353,31936
1353,32309
1353,33554
1353,34563
1353,34720
1353,34776
1353,34961
1353,39508
1353,40323
1353,44734
1353,46577
1353,46828
1353,47574
1353,61175
1354,2307
1354,4429
1354,6712
1354,8847
1354,29680
1354,48115
1354,49473
1354,59582
1356,17144
1358,11741
1360,8198
1362,13125
1364,4363
1364,16719
1364,24519
1366,2145
1366,3444
1366,4170
1366,5850
1366,6882
1366,7942
1366,7984
1366,9072
1366,10372
1366,10594
1366,13635
1366,14202
1366,15270
1366,16593
1366,18017
1366,18803
1366,18812
1366,21217
1366,22368
1366,30625
1366,37117
1366,61871
1366,83495
1366,88615
1366,97489
1368,12749
1370,1938
1370,2051
1370,4858
1370,5762
1370,7063
1370,7212
1370,8270
1370,8731
1370,10559
1370,11732
1370,15670
1370,18317
1370,20490
1370,20625
1370,20697
